,pred
195,609185.5033333334
196,674916.0
197,357223.5
198,511996.0133333333
199,658430.0
200,781453.2431457432
201,867050.8952158951
202,485444.76666666666
203,861697.91984564
204,322289.383857143
205,854292.64
206,855543.63
207,503469.16
208,2634358.71
209,507997.08
210,1295600.0
211,579665.86
212,641800.0
213,399555.46
214,941220.81
215,198095.31
216,1761200.0
217,355367.5365
218,457780.7142857143
219,1199930.79
220,467709.29
221,797473.64
222,479508.06
223,1283075.0
224,458966.7
225,509715.7166666666
226,918012.5
227,982784.17
228,799467.5
229,1799445.45
230,685424.78
231,528070.5833333334
232,386665.0
233,1212808.4002740316
234,921820.26
235,2289675.75
236,443299.15
237,1032109.0
238,341975.5220092407
239,498140.21666666673
240,310608.44
241,599173.0
242,1555810.0
243,542872.38
244,740643.11
245,2502475.0
246,1152980.7587828834
247,400191.26
248,418526.0
249,1683434.6
250,857436.64
251,1481678.1595238096
252,310821.4733392734
253,3641108.84
254,667908.5
255,720465.9484511103
256,770779.79
257,424530.2
258,499575.0
259,1127475.53
260,667859.82
261,610190.0
262,303031.0
263,533390.13
264,877720.0
265,505652.94
266,2780773.86
267,1184130.0
268,538375.0
269,900963.12
270,895271.79
271,899320.0
272,538085.08
273,800551.53
274,584960.7416575406
275,289714.06666666665
276,620210.79
277,584960.7416575406
278,116861.86047286048
279,504603.76
280,537394.0033333333
281,837759.17
282,1517976.3657142858
283,1166249.63
284,299485.48546453554
285,282971.60784772865
286,963315.03
287,518569.1639016524
288,1480015.42
289,313140.84523809527
290,694664.38
291,918674.97
292,1031530.0
293,807421.5733333332
294,700778.5160407651
295,1038241.66
296,410753.3333333334
297,405678.0
298,758145.0
299,2486879.87
300,451345.81
301,957136.8826847043
302,428279.0
303,1337804.94
304,685578.82
305,1175562.6112539684
306,1390553.13
307,794708.77
308,953669.31
309,561831.9
310,776926.5
311,263112.88
312,1485410.0
313,669498.9714285714
314,1756380.6090476192
315,2675098.73
316,1111976.6666666665
317,1022017.0
318,441786.43
319,755978.8850630765
320,414323.97
321,463953.36833333335
322,333787.31666666665
323,310821.4733392734
324,562085.05
325,269238.8
326,746955.1298701299
327,1819424.3232738096
328,532360.65
329,1330249.99
330,1083617.0
331,531439.63
332,693173.063061938
333,3699592.76
334,829594.6374458877
335,478589.54
336,1251325.65
337,784127.1433333333
338,1376878.32
339,429297.25
340,368588.55
341,1097954.5
342,798020.51
343,686338.7498701299
344,529614.08
345,730735.12
346,1088715.8066666666
347,468453.66702380957
348,1230240.01
349,642679.5939338439
350,813250.0
351,468635.3
352,855660.0
353,1063863.65
354,427926.27
355,270152.8693968254
356,624169.8066666668
357,262416.1767479339
358,3257591.52
359,324550.0
360,1715110.0
361,575189.0
362,556704.46610012
363,795790.0
364,751689.64
365,1449671.06
366,1087419.25
367,1875575.5270000002
368,865280.0
369,753284.51
370,480465.13000000006
371,594442.8
372,1444761.64
373,296280.4166666666
374,667602.3452380953
375,481609.99
376,261917.18000000005
377,818065.7333333334
378,139371.11904761905
379,681398.65
380,264078.3666666666
381,780341.12
382,575134.24
383,1524530.8106666666
384,2099885.9
385,898041.87
386,649600.2
387,3615860.0
388,201732.89880952376
389,349926.03
390,550318.1
391,1175470.0
392,236274.35
393,280563.8252053501
394,383993.3
395,1859037.36
396,321520.7629278499
397,205524.02453298055
398,724306.3333333335
399,353434.1
400,424450.2566666667
401,721275.0
402,1006483.96
403,435109.9785714285
404,585897.4
405,1211592.635
406,2090557.92
407,1050292.5
408,592814.9433333332
409,550636.8045946459
410,586623.35
411,3484340.3
412,380149.3191666667
413,652179.87
414,729021.35
415,1076561.3333333335
416,522983.59
417,1528492.14
418,1752920.498948412
419,833292.58
420,852886.5
421,1470468.48
422,350351.76
423,915711.53
424,1248291.4099679487
425,601674.5533333333
426,1376420.12
427,509997.63
428,717931.66
429,667448.096982129
430,963017.78
431,468195.2
432,754560.2994311246
433,329805.53641269845
434,2380256.77
435,546166.64
436,709916.47
437,1151838.01
438,811959.55
439,757804.44
440,230575.76872895754
441,195138.00206586084
442,481182.55
443,285924.81
444,1377003.62
445,148199.94047619047
446,262339.75
447,765820.9567099566
448,324548.96
449,584024.5
450,2892387.36
451,1159189.0666666667
452,149341.195968254
453,1357257.5
454,585146.6666666667
455,559555.4
456,887568.66
457,494031.8
458,702424.77
459,495696.9
460,862246.0912698412
461,1657541.72
462,951965.0
463,629199.5
464,369159.2
465,443383.0583333333
466,771566.35
467,910350.0
468,401820.92
469,476316.3466666666
470,757720.0479865624
471,504261.5504761904
472,348342.5
473,654532.75
474,450070.0
475,2174451.376984127
476,590374.55
477,329092.75
478,218120.83380330112
479,426618.87
480,3217306.6
481,882969.1
482,296595.74
483,1805122.6933333334
484,1331861.6
485,152068.75330225326
486,1303879.69
487,901897.5
488,380369.14333333337
489,2137244.48
490,683816.4815000001
491,1054913.19708658
492,1161785.0
493,972370.56
494,804071.2
495,872372.2158436072
496,416255.84904761903
497,1221250.0
498,399756.37
499,539040.0
500,299047.1587301587
501,1234791.25
502,1262900.0
503,523534.48761904764
504,1561266.6487936508
505,396612.56
506,155068.74374236874
507,778988.0
508,453158.9436605062
509,522940.8055555555
510,133998.78
511,826830.9552380954
512,636655.4761904762
513,1130353.45
514,535094.54
515,981264.0
516,763435.3333333331
517,251549.76
518,362021.30476190476
519,435223.71716904
520,399747.67896950146
521,224555.66194916188
522,1061356.21
523,135891.00210084033
524,664218.0
525,1395828.51
526,340145.3783333333
527,1169714.8809523808
528,588111.82
529,396653.86
530,766059.1466666667
531,321520.7629278499
532,652243.9
533,525802.5
534,274347.79047619045
535,362806.89
536,476512.2752380953
537,1297392.15
538,1280887.3
539,515131.18
540,545302.3325
541,2290460.0
542,357511.9419047619
543,437228.05
544,847905.77
545,2527866.87
546,531675.5558333333
547,942735.31
548,1157166.52
549,943133.1366666666
550,1577751.228333333
551,712637.4367444282
552,1141411.0
553,1430705.0000000002
554,476829.6821666666
555,1393675.0
556,536996.01
557,414460.92
558,331046.89
559,350156.52666666673
560,149154.48982539683
561,823143.3333333333
562,517598.22
563,754668.34
564,570338.57
565,1066620.4
566,182307.42289377283
567,502185.15
568,425349.65666666673
569,786304.88
570,461755.4166666666
571,556443.861
572,261073.8333333333
573,972350.0
574,486158.7
575,252411.64
576,665662.09
577,359332.57
578,587903.7538536243
579,1591646.36
580,290280.49
581,2488031.37
582,2224261.89
583,453158.9436605062
584,719060.0
585,755978.8850630765
586,501890.81
587,399917.5
588,547141.88
589,540697.0
590,2161633.1
591,2486319.66527569
592,657710.0
593,523407.36
594,487345.68615315726
595,301762.7822352927
596,620890.76
597,938484.73
598,818981.38
599,1205783.0
600,1091632.66
601,1986633.36
602,1513769.2
603,1273813.85
604,631254.1130952381
605,723666.66
606,549830.32
607,852462.775
608,604933.34
609,2393880.0
610,931444.7220687807
611,1001643.99
612,580598.9466666667
613,193307.9722222222
614,918866.5
615,885542.0667857138
616,440372.46666666673
617,329770.755
618,620159.0
619,924735.0
620,664816.81
621,333374.90427777776
622,2146621.666666667
623,1288791.79
624,348960.0
625,565640.0
626,1631842.4348845598
627,1003961.92
628,732802.4833333333
629,1390915.72
630,427520.0
631,582598.07
632,1186220.425
633,493410.0
634,816565.0
635,1995439.2045454544
636,913310.2
637,2740470.29
638,797018.32
639,953349.2
640,648160.96
641,349144.84
642,777168.93
643,597755.5
644,242189.9325396825
645,691725.0
646,330662.78
647,996629.88
648,646880.0
649,438018.0
650,581773.3213375687
651,936820.0
652,770124.0
653,980234.83
654,406349.65907126205
655,490192.17768342776
656,772150.0
657,920731.74
658,482079.55
659,419481.12
660,790760.2
661,845355.6239181317
662,787360.0
663,734507.5
664,585905.0
665,149341.195968254
666,729873.52
667,910215.04
668,3032332.96
669,2923137.5
670,113306.5
671,2165729.84
672,1208479.0
673,346405.0
674,610820.49
675,696981.9166666667
676,2548262.380952381
677,293076.6666666667
678,129843.0
679,242113.76769119766
680,1177561.0
681,857571.2401189286
682,265619.57330952375
683,326084.00460939406
684,357755.55
685,421671.76
686,412496.0585714286
687,509583.39
688,164142.55
689,2021275.96
690,803752.1
691,1054494.6428571427
692,999600.0
693,1090872.2286553315
694,794060.9083327231
695,1746165.36
696,773928.34
697,2174592.6366666667
698,1002669.46
699,1069092.5
700,941784.66
701,1349120.7
702,212845.23507539683
703,611101.27
704,198787.28309779114
705,549332.9
706,992703.75
707,385759.593
708,510297.0
709,511880.0
710,1792079.89
711,473631.81
712,772958.4166666667
713,252628.91524624324
714,816073.6566666667
715,439202.67
716,285158.371031746
717,1923950.78
718,1140554.6334285715
719,792820.81
720,252630.38
721,748975.0
722,953313.3280398768
723,3262310.89
724,259779.99999999997
725,865005.12
726,439529.34
727,370848.45238095237
728,527936.67
729,667226.3742193363
730,358601.35
731,335655.98333333334
732,1094043.89
733,216011.28690476195
734,346623.90833333327
735,352545.0
736,2108739.2478354974
737,226892.03841991347
738,637770.0
739,978964.8
740,940617.4273809524
741,1830634.023088023
742,458286.7321428571
743,632057.0615800866
744,2272501.67
745,743166.73
746,477439.68
747,1944908.38
748,259101.43
749,1995439.2045454544
750,521005.0
751,781135.0
752,1426295.0
753,362242.6438126146
754,1243192.16
755,518569.1639016524
756,713892.98
757,542580.5133333333
758,399570.51
759,1987570.0
760,864729.59
761,3167819.9
762,2492794.95
763,1035473.4366666665
764,619144.51
765,405516.4
766,463310.0
767,867134.18
768,588332.97
769,1001124.9733333333
770,368965.0
771,419666.0
772,478464.8533333333
773,444704.97
774,682741.0
775,1413382.4
776,1017225.01
777,388331.17
778,2135170.9840020905
779,597323.475
780,2000350.0
781,714959.98
782,283893.196969697
783,152354.26166088085
784,371627.71
785,792863.6466705428
786,332512.1
787,305854.63
788,1193998.274
789,379733.5
790,515900.8154761905
791,1409100.0
792,333052.90960681555
793,1025703.4
794,526401.5533333335
795,468269.7
796,884513.3333333335
797,842365.0
798,1510700.0
799,2150999.08
800,150088.9294039294
801,910298.87
802,553125.0
803,1189320.0
804,650815.0
805,385351.03416666674
806,590966.0714285714
807,737474.82
808,259395.2296967912
809,304710.70523809525
810,254578.52777777772
811,774100.96
812,3635939.0
813,746104.99
814,841611.7
815,219727.88091630593
816,1099249.819047619
817,750553.62
818,1416235.3
819,541620.96
820,696110.0
821,573356.3571428572
822,764421.62
823,1023266.5116082247
824,487618.1366666667
825,1402288.8
826,249588.92857142855
827,809396.6
828,1095315.74
829,500542.16666666674
830,632057.0615800866
831,355340.0
832,370840.0
833,264155.505
834,820890.3
835,257114.44543196302
836,1161928.16
837,219826.19607372436
838,788590.21
839,743826.6666666667
840,510181.66666666674
841,198787.28309779114
842,1071336.19
843,727277.0
844,716109.27
845,616762.6666666666
846,548033.98
847,3450007.74
848,1279238.3432539685
849,490965.54
850,768461.25
851,581285.0
852,478692.20000000007
853,577033.9820426241
854,891076.64
855,596767.09
856,516591.09
857,296280.4166666666
858,156299.01301154404
859,172557.85649999994
860,422428.5247113998
861,1369418.0
862,916327.16
863,730896.9047619045
864,912233.3055464536
865,521668.98222222226
866,503084.3
867,1045072.69
868,2029772.26
869,1174400.715
870,570124.31
871,139371.11904761905
872,549062.33
873,333787.31666666665
874,1022505.25
875,592940.02
876,445301.93666666665
877,319948.4866666667
878,1779065.9695
879,257840.05952380953
880,585578.5
881,368150.66574603185
882,576971.29
883,1037282.92
884,1040855.0
885,1062770.0
886,1116275.5294011545
887,868709.45
888,1128885.0
889,1099453.345
890,1261013.84
891,511535.39
892,817700.64
893,225245.69999999995
894,973542.8332997839
895,644666.562118437
896,973542.8332997839
897,376734.52333333326
898,860955.88
899,2006189.3665
900,662883.96
901,1435576.6666666665
902,672532.06
903,422758.21
904,1357042.7106666667
905,986979.88
906,248057.73524253533
907,1187492.398626984
908,625281.7
909,645696.9
910,495663.45
911,1188779.1133333333
912,917904.52
913,510649.68
914,788669.57
915,249553.4052207176
916,690304.86
917,463029.56614019186
918,850150.0
919,873049.43
920,391554.22333333327
921,751096.2
922,2120921.04
923,1817546.69
924,2285004.17
925,1828218.53
926,614799.04
927,502725.7
928,2853880.34
929,379380.0
930,764976.95
931,1315973.71
932,365156.5
933,897582.0
934,662826.0
935,1111283.03
936,1224432.06
937,571465.0
938,2032625.16
939,651429.99
940,1401708.333333333
941,503638.695
942,465279.47
943,996359.3766666667
944,1014000.0
945,549580.3
946,598473.8
947,1019501.5
948,931367.76
949,503186.52
950,708219.46
951,1433233.7410339653
952,443912.5
953,810767.5
954,707412.9326494266
955,920750.0
956,443904.2700000001
957,2082071.16
958,548135.2333333334
959,246377.1291741453
960,1132722.87
961,172557.85649999994
962,1453120.0
963,421851.66493506485
964,675655.0866666666
965,190707.99725880416
966,1268235.0
967,561320.4
968,1481538.6993561983
969,1329682.23
970,846097.59
971,504783.31666666665
972,255760.0
973,352603.48618400865
974,427004.5333333334
975,1252004.18
976,531756.26
977,617120.2738095238
978,558655.01
979,299485.48546453554
980,2623968.33
981,1324650.0
982,456599.76
983,447955.83
984,1003493.2
985,778257.5
986,391938.75
987,796981.24
988,4207133.44
989,913065.0
990,2025357.88
991,1617535.124777778
992,470560.0
993,641906.41
994,659520.0
995,2911147.03
996,815060.0
997,884528.4646753245
998,2346040.0
999,237692.507936508
1000,899635.0
1001,1296413.0
1002,584960.7416575406
1003,2525285.04
1004,794060.9083327231
1005,1736004.824
1006,169209.5
1007,611805.51
1008,603009.04
1009,1120651.5
1010,964890.46
1011,845256.67
1012,861208.04
1013,986228.96
1014,382171.55
1015,390613.12
1016,505589.24
1017,280237.03394232085
1018,561720.0
1019,227984.12478749323
1020,314789.41600736533
1021,1155389.4
1022,690243.9
1023,236481.03571428574
1024,131251.8928571429
1025,754660.0
1026,579394.0
1027,279689.28353485395
1028,1797860.0
1029,770070.0
1030,378071.25500000006
1031,980138.9865093379
1032,227073.66666666663
1033,382860.0
1034,2781210.0
1035,881895.94
1036,576091.12
1037,257615.63727777769
1038,2214515.0
1039,270152.8693968254
1040,903905.386002886
1041,456619.18
1042,416158.62
1043,190707.99725880416
1044,822307.2852121212
1045,483055.0
1046,1561266.6487936508
1047,1633795.4166666663
1048,1973245.0
1049,501835.0
1050,1766683.3583333334
1051,641515.61
1052,391805.8266666667
1053,475086.23
1054,702024.75
1055,496332.12
1056,765490.0
1057,667448.096982129
1058,517280.0
1059,593189.36
1060,278239.8
1061,528939.19
1062,2098432.1366666667
1063,665479.03
1064,509573.0952380952
1065,1120940.0
1066,1631842.4348845598
1067,2646721.29
1068,875623.838716847
1069,1136736.3766666667
1070,503323.5466666666
1071,510758.9016031746
1072,1981616.09
1073,508158.91333333333
1074,484453.3333333334
1075,237799.4756346521
1076,724946.835
1077,218120.83380330112
1078,938460.0
1079,1437130.0
1080,494898.24
1081,517258.99
1082,607449.96
1083,258355.0
1084,237799.4756346521
1085,236150.0
1086,171374.98
1087,473598.0
1088,770969.0590476191
1089,1200283.24
1090,509940.58
1091,442094.0
1092,488805.56
1093,681138.7428571428
1094,391933.55
1095,1718093.34
1096,385408.0
1097,1274181.08
1098,782209.8
1099,805400.1333333333
1100,2131620.29
1101,453429.2733333334
1102,671586.22
1103,1940800.0
1104,575215.8433333333
1105,584024.5
1106,766335.0
1107,918866.68
1108,1610452.3333333335
1109,2671601.25
1110,759521.48
1111,639597.1066666667
1112,515817.2
1113,182243.09352428853
1114,310821.4733392734
1115,205081.0
1116,838180.365
1117,509862.25
1118,893503.76
1119,473324.88
1120,158254.04960317462
1121,350901.3333333334
1122,575068.02
1123,584960.7416575406
1124,330597.5
1125,4655438.43
1126,344512.0
1127,667448.096982129
1128,282971.60784772865
1129,1117959.0183333335
1130,1348293.0
1131,574574.415
1132,326950.0
1133,1141283.45
1134,513612.5
1135,355379.67261904763
1136,604220.0
1137,191147.83333333337
1138,448096.5
1139,2819547.21
1140,190707.99725880416
1141,537440.0
1142,1674960.25
1143,834367.64
1144,623270.0
1145,135830.0
1146,451827.36
1147,496657.92
1148,1083617.0
1149,455100.35
1150,149444.06208791208
1151,134316.5476190476
1152,625173.2260833334
1153,1177675.6
1154,1342225.04
1155,323635.44
1156,588656.5079365079
1157,505097.22
1158,464652.54
1159,422785.7
1160,599478.02
1161,954437.46
1162,526265.35
1163,1118418.88
1164,820816.0
1165,549491.8827380952
1166,732409.03
1167,170476.45
1168,1987516.825548701
1169,2660261.62
1170,1881190.0
1171,687042.13
1172,941582.84
1173,614313.535952381
1174,1201626.6441666668
1175,1200793.3333333333
1176,327739.5
1177,750868.94
1178,478013.9
1179,2301136.86
1180,3031101.63
1181,1155300.5500000003
1182,312617.0
1183,332368.6333333333
1184,249553.4052207176
1185,437674.76
1186,1742500.0
1187,568909.78
1188,389372.66
1189,385586.87
1190,510011.23
1191,471123.86
1192,796620.5537518038
1193,987013.31
1194,226453.36688311686
1195,573690.0
1196,840875.71
1197,301519.0100668765
1198,1251816.2028210678
1199,786752.4865096293
1200,259417.2341269841
1201,605241.36
1202,373396.47
1203,3396264.0
1204,404817.6
1205,572330.48
1206,1927535.6566666665
1207,461800.16666666674
1208,356880.32
1209,808383.1329750484
1210,533508.0952380953
1211,503085.08
1212,482703.10444385884
1213,1245700.0
1214,240076.8333333333
1215,652959.9283153594
1216,427303.9366666667
1217,644218.0
1218,1663520.66
1219,529734.22
1220,1955849.37
1221,569806.58
1222,519274.5
1223,640405.0
1224,254470.4563492064
1225,1802677.7954545456
1226,715725.0
1227,1580374.04
1228,601248.14
1229,355202.62666666665
1230,778611.76
1231,1218290.82
1232,1060135.93
1233,716648.8809523807
1234,893093.09
1235,564111.95
1236,925050.1033333333
1237,4167613.47
1238,512787.4
1239,262848.3052986801
1240,545537.06
1241,791885.05
1242,999778.32
1243,544570.0
1244,182243.09352428853
1245,254588.52661616166
1246,380133.27964285715
1247,1911508.55
1248,309196.1533333334
1249,1053169.11
1250,336325.3
1251,346396.21666666673
1252,563589.65
1253,486185.0
1254,2698719.58
1255,308024.7738095239
1256,612585.0
1257,420906.5233333334
1258,507620.0
1259,302527.88596491225
1260,791735.93
1261,2502220.47
1262,762269.9633333334
1263,1097680.9225
1264,163918.37572150072
1265,641845.1033333334
1266,396205.8
1267,762645.0
1268,394978.1
1269,524853.74
1270,176191.41252380953
1271,1624097.7
1272,921251.9
1273,1245122.1056904758
1274,365702.35
1275,869490.0
1276,778890.0
1277,843658.0
1278,461568.87
1279,685201.6633333333
1280,682503.5
1281,773549.46
1282,385985.62
1283,604656.75
1284,952538.89
1285,230553.33333333337
1286,1133153.28
1287,575940.2
1288,1204576.1
1289,563529.95
1290,1615048.72
1291,762003.18
1292,433538.32
1293,174675.61677380957
1294,470971.63
1295,1469025.0
1296,465992.5
1297,2693083.97
1298,543365.0
1299,1098771.0
1300,232166.61258186254
1301,1440452.45
1302,737269.9311111111
1303,501680.0
1304,432393.0
1305,1695342.0
1306,439206.34
1307,1241671.7964444445
1308,499855.0
1309,346709.0
1310,258701.6666666667
1311,1598388.92
1312,1340688.36
1313,554760.05
1314,957919.4
1315,1342115.0
1316,540654.92
1317,366483.8
1318,544325.09
1319,493508.0
1320,892085.0
1321,830841.6
1322,838791.71
1323,816149.91
1324,481971.5
1325,456940.0
1326,324944.57575757586
1327,1947185.64
1328,599207.06
1329,327371.5790039683
1330,809767.15
1331,1904382.27
1332,557570.86
1333,528736.2242170329
1334,348267.4639779663
1335,1228990.0
1336,160735.5337301588
1337,226560.02
1338,1429856.53
1339,1194696.1444831311
1340,629239.25
1341,2418262.06
1342,235265.0
1343,169995.63394938395
1344,529439.8966666667
1345,1406875.5725
1346,823007.6463401876
1347,759274.63
1348,1024182.62
1349,534305.8863636364
1350,343029.7
1351,299360.98333333334
1352,610362.6616161616
1353,822801.0876562824
1354,372486.77333333326
1355,918934.72
1356,386591.5
1357,765820.9567099566
1358,482932.4
1359,570485.0
1360,310821.4733392734
1361,334677.28
1362,324975.62666666665
1363,822404.9104761905
1364,415527.12
1365,754069.88
1366,1546356.53
1367,733715.6500000001
1368,546410.0
1369,629463.4888722388
1370,880462.0
1371,1860191.57
1372,471307.76
1373,717226.95
1374,411378.92
1375,3871310.21
1376,1707297.0952380956
1377,261784.32
1378,546879.91
1379,515900.8154761905
1380,899440.0
1381,514499.75
1382,119027.26190476191
1383,1815730.0
1384,514805.96666666673
1385,1231619.4637792762
1386,1612594.18
1387,1545703.26
1388,2096737.6
1389,858133.4457430005
1390,613404.5
1391,1992448.2666666666
1392,152354.26166088085
1393,308832.74999999994
1394,1530497.41
1395,120485.0
1396,1457452.36
1397,505302.92
1398,466920.82844155846
1399,287776.1148901099
1400,588903.0
1401,1317736.81
1402,631254.1130952381
1403,2500200.0
1404,1595660.0
1405,1175562.6112539684
1406,606909.8933333333
1407,1385447.77
1408,176121.76122222224
1409,613817.4999999999
1410,530318.18
1411,487345.68615315726
1412,965637.76
1413,818451.0014285715
1414,2143817.37
1415,180598.7222222222
1416,329046.0615714286
1417,517470.38
1418,872549.08
1419,775376.06
1420,2237100.86
1421,1943942.4091666667
1422,362397.6066666667
1423,515613.56
1424,749470.73
1425,607271.4285714288
1426,828763.5565000001
1427,1966718.18
1428,366305.44
1429,750052.1023755656
1430,314789.41600736533
1431,504706.71
1432,353578.0533333333
1433,365852.09
1434,1437703.9
1435,382832.6
1436,2333383.6
1437,1683434.6
1438,496792.02
1439,2558646.61
1440,1660013.01
1441,414882.5974858475
1442,1503022.0
1443,839570.0
1444,1004800.1881881517
1445,1278489.043452381
1446,840421.6839826838
1447,628586.86
1448,1118088.95
1449,428449.7
1450,949801.5437544482
1451,233246.87058244058
1452,1553403.37
1453,3839565.93
1454,569835.0
1455,530685.52
1456,875874.98
1457,253312.74113095234
1458,443408.88333333336
1459,862137.75
1460,1749765.39
1461,1482676.1480386285
1462,416205.42333333334
1463,192168.94
1464,521189.88
1465,1106580.0
1466,946333.8
1467,580786.61
1468,504001.29
1469,3097953.75
1470,785229.8
1471,350190.0
1472,2391112.45
1473,501044.89539241744
1474,358440.76
1475,1702147.94
1476,798503.76
1477,1368631.67
1478,465254.4633699634
1479,863805.0
1480,613461.45
1481,615390.58
1482,756725.0
1483,567322.97
1484,368870.47
1485,1834631.72
1486,593376.65
1487,449210.42757575767
1488,942899.92
1489,356575.7652952445
1490,822801.0876562824
1491,481154.97
1492,1029493.44
1493,257697.76857142858
1494,578974.9258449887
1495,775026.1309523811
1496,984840.680904762
1497,546501.1566666666
1498,576822.4166666667
1499,480076.25
1500,4400610.96
1501,781442.0
1502,219826.19607372436
1503,490550.261904762
1504,463445.12
1505,422551.23412698426
1506,214542.87106493503
1507,641744.12
1508,501044.89539241744
1509,529412.41
1510,1955339.06
1511,602677.42
1512,3291230.0
1513,566630.7142857143
1514,1418596.86
1515,472767.57333333336
1516,163844.29523809522
1517,2184171.516666667
1518,165942.45
1519,618180.0
1520,1373905.0
1521,312148.68270562775
1522,415587.68
1523,1106914.77
1524,856442.5
1525,851791.3166666665
1526,515394.3368837829
1527,2120662.94
1528,913590.54
1529,379223.0
1530,582698.33
1531,740771.74
1532,873320.0
1533,529547.2
1534,299948.1593253968
1535,462125.4
1536,277209.1666666666
1537,1081458.8943849204
1538,1727636.76
1539,1691471.87
1540,2140650.0
1541,546088.15
1542,616332.67
1543,985670.33
1544,610731.5118847326
1545,1123816.44
1546,858120.0
1547,783430.0
1548,439657.64
1549,1531032.03
1550,1307490.3917748919
1551,546928.68
1552,203349.61476190473
1553,508817.15
1554,408614.46
1555,644572.76
1556,207819.89001587298
1557,961845.17
1558,742127.4821753248
1559,831696.55
1560,601673.9
1561,657260.0
1562,1206668.75
1563,1477070.17
1564,434549.16666666674
1565,1163711.9865165052
1566,484413.2100941281
1567,1283510.0
1568,988444.7217604619
1569,671588.185047619
1570,768930.94
1571,807618.1
1572,425497.605
1573,497951.6
1574,175747.96133333334
1575,256970.9054834055
1576,943606.1113886114
1577,191225.29890942387
1578,227589.19047619042
1579,766875.75
1580,458072.16
1581,694512.21
1582,1295391.78
1583,983899.34
1584,1162665.0546695525
1585,461601.68
1586,786147.85
1587,577360.0
1588,306776.12
1589,980138.9865093379
1590,491146.6666666666
1591,272344.9523809523
1592,278145.2102380952
1593,808755.0166666667
1594,860660.0
1595,173112.2420634921
1596,1218799.81
1597,693960.8
1598,347159.19
1599,1470363.31
1600,823883.1
1601,872185.0
1602,1346317.376456898
1603,1790250.0
1604,690791.4609955439
1605,587466.3
1606,1048943.34
1607,578516.92
1608,3259586.64
1609,1267575.0
1610,1033818.0541272456
1611,1026801.18
1612,176518.8015873016
1613,3647444.27
1614,2294066.29
